Time,V(OUTPUT)
7.556302735307e-008,-4.355467236702e+000
7.556900091427e-008,-3.616341799026e+000
7.557438294011e-008,-2.927785415584e+000
7.558419820694e-008,-1.625059933127e+000
7.559142614323e-008,-5.948425713269e-001
7.559708974864e-008,2.696100768474e-001
7.560238882857e-008,1.126282521182e+000
7.560577032987e-008,1.692922068823e+000
7.560971680928e-008,2.362689779328e+000
7.561480561403e-008,3.221215637602e+000
7.561957209387e-008,3.989185264478e+000
7.562306382593e-008,4.520602956582e+000
7.562818246211e-008,5.240101230499e+000
7.563178296973e-008,5.695352632194e+000
7.563397739855e-008,5.951161449619e+000
7.563692416138e-008,6.267203905181e+000
7.564080370198e-008,6.633014459004e+000
7.564714688183e-008,7.100031059380e+000
7.565287087769e-008,7.381278388533e+000
7.565654378109e-008,7.496879016969e+000
7.566006570837e-008,7.563555643743e+000
7.566496024506e-008,7.594658615487e+000
7.567016037197e-008,7.550837620827e+000
7.567131251985e-008,7.530361635124e+000
7.567322427772e-008,7.486960334250e+000
7.567536850243e-008,7.423385848913e+000
7.567758294013e-008,7.339368948548e+000
7.568082256025e-008,7.178841802955e+000
7.568534820589e-008,6.871452970580e+000
7.569039335490e-008,6.410875860360e+000
7.569791960546e-008,5.501530073889e+000
7.570290800200e-008,4.773060391814e+000
7.570806447316e-008,3.938825180430e+000
7.570883545182e-008,3.807538043704e+000
7.571037740913e-008,3.541331217693e+000
7.571346132377e-008,2.997759220509e+000
7.571726955998e-008,2.315860494625e+000
7.572204695375e-008,1.455674295449e+000
7.572683671665e-008,6.072362567563e-001
7.573150060548e-008,-1.916673683491e-001
7.573537941849e-008,-8.292799958800e-001
7.573917092000e-008,-1.427627815427e+000
7.574407782581e-008,-2.164982132840e+000
7.575090849482e-008,-3.123996868430e+000
7.575650661661e-008,-3.853215065520e+000
7.576163980471e-008,-4.477385449338e+000
7.576260623378e-008,-4.590160717652e+000
7.576453909192e-008,-4.811071728597e+000
7.576502230645e-008,-4.865327718880e+000
7.576598873552e-008,-4.972638638428e+000
7.576792159366e-008,-5.182299216210e+000
7.577178730994e-008,-5.580447297406e+000
7.577451433886e-008,-5.842452511354e+000
7.577783726870e-008,-6.138482090413e+000
7.578218247059e-008,-6.480284674766e+000
7.578705299661e-008,-6.791521467705e+000
7.579284756926e-008,-7.054250221397e+000
7.579850826428e-008,-7.188600543527e+000
7.580483398183e-008,-7.196586914728e+000
7.580963247588e-008,-7.106350612997e+000
7.581435166199e-008,-6.939647247170e+000
7.581960490338e-008,-6.665246447393e+000
7.582595608678e-008,-6.213845594940e+000
7.583292281620e-008,-5.575903637762e+000
7.583733713968e-008,-5.106303606413e+000
7.584373270643e-008,-4.362130494450e+000
7.584908853883e-008,-3.701630689605e+000
7.585497478854e-008,-2.952467674680e+000
7.586353276988e-008,-1.830966075840e+000
7.587026375827e-008,-8.946858506253e-001
7.587569744342e-008,-8.677117006600e-002
7.588075568915e-008,7.129128454792e-001
7.588477129016e-008,1.378459559345e+000
7.588934350192e-008,2.153888878774e+000
7.589403722218e-008,2.947569956615e+000
7.589984561914e-008,3.890730245773e+000
7.590330388180e-008,4.420569110467e+000
7.590777641294e-008,5.057452969394e+000
7.591240319439e-008,5.651815989662e+000
7.591462636324e-008,5.910937231407e+000
7.591907270094e-008,6.374966020912e+000
7.592327747684e-008,6.743632422723e+000
7.592941256430e-008,7.154221178991e+000
7.593537375638e-008,7.413912004341e+000
7.594010240123e-008,7.529337322618e+000
7.594455892527e-008,7.569851356709e+000
7.595099305459e-008,7.523305914591e+000
7.595350726174e-008,7.470850649751e+000
7.595514653499e-008,7.425643051775e+000
7.595729949085e-008,7.351879243662e+000
7.596011892442e-008,7.228095659248e+000
7.596476171298e-008,6.950063845448e+000
7.596985342812e-008,6.527150361837e+000
7.597563926961e-008,5.897019334421e+000
7.598136253787e-008,5.130703554548e+000
7.598761476825e-008,4.153985800620e+000
7.598839520565e-008,4.023605226896e+000
7.598995608046e-008,3.758758390004e+000
7.599307783007e-008,3.215973705981e+000
7.599774171890e-008,2.387103407364e+000
7.600242379763e-008,1.549455501294e+000
7.600695235365e-008,7.489451337652e-001
7.601163661516e-008,-5.873191134538e-002
7.601532334288e-008,-6.700878777810e-001
7.601900643263e-008,-1.257721316616e+000
7.602246251249e-008,-1.786574550014e+000
7.602633477714e-008,-2.353530433226e+000
7.603193799209e-008,-3.128821010704e+000
7.603708500451e-008,-3.795998008383e+000
7.604190750922e-008,-4.382827497685e+000
7.604280254295e-008,-4.487750390905e+000
7.604459261043e-008,-4.693752983236e+000
7.604504012729e-008,-4.744448490769e+000
7.604593516103e-008,-4.844855112163e+000
7.604772522850e-008,-5.041611115247e+000
7.605130536345e-008,-5.417821506768e+000
7.605436453982e-008,-5.718958479577e+000
7.605798942191e-008,-6.048979562524e+000
7.606182021359e-008,-6.360685442198e+000
7.606795457346e-008,-6.765152635828e+000
7.607522980347e-008,-7.073111846324e+000
7.608178544128e-008,-7.180681773870e+000
7.608787323502e-008,-7.138495280143e+000
7.609218205712e-008,-7.030424946211e+000
7.609640647811e-008,-6.863253452673e+000
7.610039952365e-008,-6.650153495631e+000
7.610627485942e-008,-6.241622723632e+000
7.611281885570e-008,-5.659035489171e+000
7.611849628543e-008,-5.063311324751e+000
7.612579843649e-008,-4.204200178751e+000
7.613235407430e-008,-3.391314250988e+000
7.613837783961e-008,-2.622865178590e+000
7.614664187227e-008,-1.522506381562e+000
7.615280097039e-008,-6.478287834257e-001
7.615822155881e-008,1.724991221348e-001
7.616322086929e-008,9.711988251616e-001
7.616712223776e-008,1.616621561345e+000
7.617149654348e-008,2.350166256654e+000
7.617659698976e-008,3.200578162106e+000
7.618078430337e-008,3.870479417539e+000
7.618343202435e-008,4.276082744328e+000
7.618746144967e-008,4.858345035944e+000
7.619172225045e-008,5.422815346165e+000
7.619480943927e-008,5.794131559132e+000
7.619832590958e-008,6.176608261000e+000
7.620300507792e-008,6.613187988917e+000
7.620814044881e-008,6.992074650104e+000
7.621570016877e-008,7.361726998262e+000
7.621983145750e-008,7.475706258843e+000
7.622395183230e-008,7.532118993808e+000
7.623009783370e-008,7.522295708386e+000
7.623226934325e-008,7.492091775959e+000
7.623360502717e-008,7.466295508448e+000
7.623470024069e-008,7.440844145805e+000
7.623575052517e-008,7.412620561623e+000
7.623742508681e-008,7.359481696697e+000
7.623997858414e-008,7.257459535242e+000
7.624399127476e-008,7.040238509498e+000
7.624981422364e-008,6.589164651079e+000
7.625505800629e-008,6.041091902729e+000
7.626032434441e-008,5.367171349937e+000
7.626556521668e-008,4.592992023243e+000
7.627050268152e-008,3.790994165853e+000
7.627137270415e-008,3.643055225838e+000
7.627311274941e-008,3.342805819743e+000
7.627659283994e-008,2.731347258414e+000
7.628013768649e-008,2.101670187137e+000
7.628415401509e-008,1.387355148004e+000
7.628810849806e-008,6.958005264316e-001
7.629183742634e-008,5.986034639150e-002
7.629617971784e-008,-6.563528940675e-001
7.629993265678e-008,-1.250095010742e+000
7.630382092853e-008,-1.840210501943e+000
7.631058538632e-008,-2.807139447642e+000
7.631514377376e-008,-3.417675815691e+000
7.632053816874e-008,-4.098162935123e+000
7.632646589141e-008,-4.792824084224e+000
7.632724805685e-008,-4.880193834185e+000
7.632881238774e-008,-5.051765462077e+000
7.632920347046e-008,-5.093992017265e+000
7.632998563590e-008,-5.177616111429e+000
7.633154996679e-008,-5.341452467091e+000
7.633467862857e-008,-5.654470995465e+000
7.633646342097e-008,-5.823556601556e+000
7.633849814251e-008,-6.007346724977e+000
7.634219505658e-008,-6.313369572224e+000
7.634680510332e-008,-6.636825214586e+000
7.635184224878e-008,-6.909882717966e+000
7.635783982064e-008,-7.113093589340e+000
7.636369623892e-008,-7.182213338362e+000
7.636929945388e-008,-7.131083499695e+000
7.637586091246e-008,-6.930363011842e+000
7.638196325811e-008,-6.613966745364e+000
7.638836828360e-008,-6.150533323428e+000
7.639686369171e-008,-5.348159667988e+000
7.640176986993e-008,-4.806767490670e+000
7.640825129297e-008,-4.033773971906e+000
7.641545085303e-008,-3.123929180012e+000
7.642255437045e-008,-2.193495523390e+000
7.643088825230e-008,-1.029928590243e+000
7.643687854820e-008,-1.290585301849e-001
7.644252832929e-008,7.729620049010e-001
7.644601496818e-008,1.351264016850e+000
7.645036962881e-008,2.085255798667e+000
7.645522269254e-008,2.903251613389e+000
7.646170702597e-008,3.947389051702e+000
7.646491135770e-008,4.428663824727e+000
7.646928129784e-008,5.039009295613e+000
7.647269226677e-008,5.474749630293e+000
7.647542256987e-008,5.796021180700e+000
7.647829911971e-008,6.106499363333e+000
7.648172427676e-008,6.437248868630e+000
7.648760834368e-008,6.900803178620e+000
7.649305585314e-008,7.210787816335e+000
7.649688810002e-008,7.363636765293e+000
7.650167931811e-008,7.484372544488e+000
7.650620860172e-008,7.534354446029e+000
7.651118972231e-008,7.519810221301e+000
7.651340888938e-008,7.488922179808e+000
7.651480314476e-008,7.461360207429e+000
7.651612846044e-008,7.429043396617e+000
7.651793417122e-008,7.374533358635e+000
7.651990813852e-008,7.300097624535e+000
7.652385607312e-008,7.099615083537e+000
7.652925265088e-008,6.704735665617e+000
7.653480493414e-008,6.147830836706e+000
7.653997086404e-008,5.503076919155e+000
7.654531141693e-008,4.722305209335e+000
7.655034710720e-008,3.910459595304e+000
7.655104614482e-008,3.792192476500e+000
7.655244422008e-008,3.553044111068e+000
7.655524037059e-008,3.066550968217e+000
7.655846471121e-008,2.497805541418e+000
7.656260982426e-008,1.762301092477e+000
7.656692155674e-008,1.007236659074e+000
7.657109359084e-008,2.925295751934e-001
7.657426081519e-008,-2.339303210987e-001
7.657882866138e-008,-9.667759600005e-001
7.658338486604e-008,-1.665333901049e+000
7.658812005925e-008,-2.358082188065e+000
7.659241723982e-008,-2.958591786283e+000
7.659681337341e-008,-3.545384627744e+000
7.660129099772e-008,-4.113856911229e+000
7.660816459488e-008,-4.925425896073e+000
7.661268369216e-008,-5.412796334446e+000
7.661359609724e-008,-5.506633604639e+000
7.661542090741e-008,-5.688943801198e+000
7.661882460038e-008,-6.008137493329e+000
7.662195362596e-008,-6.275134971983e+000
7.662474359190e-008,-6.488800848967e+000
7.662794355806e-008,-6.702909483619e+000
7.663108095098e-008,-6.878830874805e+000
7.663628107789e-008,-7.089264727298e+000
7.664156851629e-008,-7.197978278721e+000
7.664725467717e-008,-7.198264862987e+000
7.665320786569e-008,-7.073340124461e+000
7.665613534723e-008,-6.967208068473e+000
7.665934950151e-008,-6.817261752126e+000
7.666577781006e-008,-6.414140171572e+000
7.667161603845e-008,-5.931085728086e+000
7.667740697311e-008,-5.355505338367e+000
7.668383237128e-008,-4.630996517577e+000
7.668989906474e-008,-3.892556649637e+000
7.669582678741e-008,-3.137791278184e+000
7.670291284253e-008,-2.214846980628e+000
7.670972241126e-008,-1.281394358501e+000
7.671529870518e-008,-4.644047939677e-001
7.672144761696e-008,5.011952407815e-001
7.672763654650e-008,1.537905712864e+000
7.673185587432e-008,2.259083141576e+000
7.673684354327e-008,3.106200926864e+000
7.674121493860e-008,3.815904247700e+000
7.674565763832e-008,4.495657077325e+000
7.674981075493e-008,5.080100757874e+000
7.675184656787e-008,5.347549017828e+000
7.675415850340e-008,5.634999562856e+000
7.675701868234e-008,5.965525798597e+000
7.675996762796e-008,6.275162980853e+000
7.676275977669e-008,6.537336650553e+000
7.676834407416e-008,6.965828958238e+000
7.677332082917e-008,7.241972053779e+000
7.677744629714e-008,7.400921505519e+000
7.678145534978e-008,7.501207600071e+000
7.678605229980e-008,7.556530983180e+000
7.678956040277e-008,7.560010658067e+000
7.679230125600e-008,7.538568972060e+000
7.679554233132e-008,7.483002023514e+000
7.679870700909e-008,7.394128841470e+000
7.680212489017e-008,7.252945036117e+000
7.680682297601e-008,6.970085074842e+000
7.681209586249e-008,6.523912173314e+000
7.681774564358e-008,5.894566120735e+000
7.682208065912e-008,5.314394214623e+000
7.682672781325e-008,4.609258203270e+000
7.683244817113e-008,3.660791357445e+000
7.683314402552e-008,3.539604149542e+000
7.683453573432e-008,3.295008907324e+000
7.683731915190e-008,2.799271421580e+000
7.684059005865e-008,2.211718828349e+000
7.684408870287e-008,1.582631199560e+000
7.684910183766e-008,6.972372443066e-001
7.685221994930e-008,1.622786019854e-001
7.685622972954e-008,-5.046714905182e-001
7.686049635108e-008,-1.184716569755e+000
7.686439335398e-008,-1.778905541105e+000
7.686993035773e-008,-2.580741815217e+000
7.687636812502e-008,-3.452407024902e+000
7.688134851801e-008,-4.083662657336e+000
7.688653845858e-008,-4.700609704296e+000
7.689317267673e-008,-5.420992447356e+000
7.689399049437e-008,-5.504410542599e+000
7.689562612964e-008,-5.667088663068e+000
7.689889740018e-008,-5.974116521679e+000
7.690211846662e-008,-6.249752644902e+000
7.690755724493e-008,-6.646238689528e+000
7.690856460126e-008,-6.709281448743e+000
7.691057931393e-008,-6.824525999216e+000
7.691460873925e-008,-7.009874660721e+000
7.692076929257e-008,-7.174138309420e+000
7.692701206420e-008,-7.195834398775e+000
7.693195243942e-008,-7.115281318882e+000
7.693672910559e-008,-6.958047103499e+000
7.694122055423e-008,-6.740041610529e+000
7.694887195126e-008,-6.214875962292e+000
