Freq.	S11(v1)	S21(v1)	S12(v1)	S22(v1)
1.94494494494494e+09	(-1.87855540829282e-01dB,1.55985805494545e+02°)	(-1.37344119742809e+01dB,1.57423364240224e+02°)	(-1.37344119742809e+01dB,1.57423364240224e+02°)	(-1.87813615720431e-01dB,-2.11378017375023e+01°)
1.94894894894895e+09	(-1.90057153841980e-01dB,1.55898947636690e+02°)	(-1.36848913140270e+01dB,1.57339466007339e+02°)	(-1.36848913140270e+01dB,1.57339466007339e+02°)	(-1.90015185806833e-01dB,-2.12187407102246e+01°)
1.95295295295295e+09	(-1.92283541034268e-01dB,1.55811746554650e+02°)	(-1.36354062017448e+01dB,1.57255224535195e+02°)	(-1.36354062017448e+01dB,1.57255224535195e+02°)	(-1.92241529825188e-01dB,-2.13000229227624e+01°)
1.95695695695696e+09	(-1.94534988584700e-01dB,1.55724199996569e+02°)	(-1.35859563301389e+01dB,1.57170637571920e+02°)	(-1.35859563301389e+01dB,1.57170637571920e+02°)	(-1.94492933952170e-01dB,-2.13816506269917e+01°)
1.96096096096096e+09	(-1.96811786256979e-01dB,1.55636305694509e+02°)	(-1.35365413949871e+01dB,1.57085702849564e+02°)	(-1.35365413949871e+01dB,1.57085702849564e+02°)	(-1.96769687949596e-01dB,-2.14636260908686e+01°)
1.96496496496496e+09	(-1.99114227449138e-01dB,1.55548061364346e+02°)	(-1.34871610951502e+01dB,1.57000418083984e+02°)	(-1.34871610951502e+01dB,1.57000418083984e+02°)	(-1.99072085213583e-01dB,-2.15459515985382e+01°)
1.96896896896897e+09	(-2.01442609243417e-01dB,1.55459464705653e+02°)	(-1.34378151325823e+01dB,1.56914780974742e+02°)	(-1.34378151325823e+01dB,1.56914780974742e+02°)	(-2.01400422824437e-01dB,-2.16286294504434e+01°)
1.97297297297297e+09	(-2.03797232456898e-01dB,1.55370513401601e+02°)	(-1.33885032123417e+01dB,1.56828789204990e+02°)	(-1.33885032123417e+01dB,1.56828789204990e+02°)	(-2.03755001597294e-01dB,-2.17116619634342e+01°)
1.97697697697698e+09	(-2.06178401692869e-01dB,1.55281205118840e+02°)	(-1.33392250426027e+01dB,1.56742440441364e+02°)	(-1.33392250426027e+01dB,1.56742440441364e+02°)	(-2.06136126133459e-01dB,-2.17950514708772e+01°)
1.98098098098098e+09	(-2.08586425392939e-01dB,1.55191537507398e+02°)	(-1.32899803346672e+01dB,1.56655732333873e+02°)	(-1.32899803346672e+01dB,1.56655732333873e+02°)	(-2.08544104872557e-01dB,-2.18788003227646e+01°)
